intersection_id,weekday,hour,volume_sum,observations,mean_volume
1068,3,4,89227.457141,450,198.28323809111112
1068,3,5,93920.580954,452,207.7888959159292
1068,3,6,143411.42857,451,317.9854292017738
1068,3,7,245250.657142,451,543.7930313569846
1068,3,8,313909.83809699997,452,694.4907922499999
1068,3,9,342119.695237,451,758.5802555144124
1068,3,10,357976.685721,449,797.275469311804
1068,3,11,359759.647619,451,797.6932319711751
1068,3,12,371350.323806,452,821.5715128451327
1068,3,13,375447.885713,452,830.6369152942478
1068,3,14,377046.17143,456,826.8556391008772
1068,3,15,335735.504764,456,736.2620718508772
1068,3,16,343431.399999,456,753.1390350855263
1068,3,17,364530.047624,456,799.4079991754386
1068,3,18,377096.990481,456,826.9670843881579
1068,3,19,376121.82857,456,824.8285714254387
